Condition,message_id,user id,nickname,create_time,comment_text,up_count,down_count,reply_count,Default condition,Signal I- condition1 (Strict),Signal I- condition2 (Loose),Signal II- condition1 (Strict),Signal II- condition2 (Loose)
Combination,1001,Z5D5QJFEDLNKR7EZ75Q7X7WJ5E,pamelaf,1/7/18 10:38,Sessions has been taking money from the prison lobby all of his political career. So of course he want government to lock more people up.,303,75,12,,,,,
Combination,1002,LW36DC4NBQ73FDHOCFQQ6BVGFQ,mike,1/7/18 12:17,"I smoke each night before going to bed.   The government has been lying about weed for decades.   It is not a gateway drug to anything other than a good nights sleep.
I'll be 70 shortly.   The entire lie has been just that...........a lie.
It was only because the government couldn't control growing the pot and taxing it.  That is way they have wasted decades of tax payers money fighting this issue.
Just another example of fools with nothing else to do.",2,2,0,,,,,
Combination,1007,VBIBIVIQXTSN76OZDLEJCXR2WM,chango,1/5/18 19:53,"Sessions is out of touch with reality.  He's putting his old school feeling in front of what is good for the country.  Sessions is one of many choice Trump made.  There wee many more people who could be doing a better job as AG then Sessions is.  Trump appointed him as a favor for his support.  Session, like Trump, is a joke.",0,2,0,,,,,
Combination,1010,W3NOEPDBQF2UU3T6OGMZR4U7BA,Charles,1/7/18 12:31,Jeff Sessions...worst elf ever.,1,1,1,,,,,
Combination,1011,2YHCRG26DK6PBFFMNGBXK4C2DE,Anonymous,1/7/18 20:39,"Sessions will have to go and the Obama order put back into place if the republicans have a chance to even win one seat back.  This one man who does not care if 64% of the voters of this nation want the policy in place, he has the power over the entire United States to just simply change it to meet his whim..  He has to go.  The will of the people overrides this nut job. He is a Russian sympathizer  Trump get rid of this guy, he is not a friend of your anyway.  You have to respect the voters rights or you will have to go also.",1,1,0,,,,,
Combination,2002,NZ5AKCHOTCMNJJU4WZFZ7WELQ4,RadioHead,1/17/18 21:44,I love these liberals that totally lose it.  Reasonable Americans recognize their lunacy.,9,2,0,,,,,
Combination,2004,PWVKSQTS4IVX5NDSY7DOL7FY2Q,sweetexas1947,1/10/18 13:37,"The wealthy will love it, when they have a nation full working slaves who are willing to do anything to get their drugs.   Just like the Reverse Mortgage industry, once No one owns property except a few investors and the wealthy, everyone will owe the landlords.

This is history repeating itself.   Peasants, surfs, landlords, etc!",2,2,2,,,,,
Combination,2009,NYJEWYTIDKLNKYFA3RTVMIYO3A,Rokossovsky,1/7/18 08:49,Cory just wants to get high and blame all his problems on racism.,0,1,0,,,,,
Combination,2013,TPBYM56EYEATTAVSGWWRU4F7JQ,RonaldH,1/8/18 16:25,"Booker is a self promoter, trying to position himself for a presidential run. Enough of him. Sessions is wrong on pot, let's face it Jeff people smoke it legal or not and don't give me the gateway drug thing, leave it alone and congress legalize it.",0,0,0,,,,,
Combination,3001,PVWN2BREJ2GKJFFGPV655B3PYM,Debbie,1/7/18 17:34,"The illeagals need jobs, they'll have growers all over, iliminating middle man tax payers.",0,2,0,,,,,
Combination,3004,ZF7QSZAVMAWJHPHBPBIRTTREC4,RichardG,1/8/18 16:47,It is the duty of the Executive branch to execute the laws faithfully.  Obviously Cory Booker has no idea how our Constitutional Republic works.  What the previous administration did was violate their oath of office.  If Congress wishes to change the law that is their prerogative.,0,1,0,,,,,
Combination,3005,QHJTQXRPH3CF6DAMUFIJ5BY7BY,markus,1/8/18 01:51,"Corey booker was born on the wrong side of history. After the failed obama expurenent, booker will never be elected outside his state.",0,1,0,,FLAGED by bot,,Malicious Score Given by bot: 65,
Combination,3009,VFIWYECILFJDSEQWLGKUE3SHUY,Patriot,1/15/18 04:07,It's Federal law and if they don't like it vote to have it changed. But while it's the law it needs to be enforced. Federal law trumps state laws.,2,0,0,,,,,
Combination,3012,F7QRN5OVXBJW6ZAW7GSS5N53FQ,w,1/18/18 13:44,It the responsibility of the Attorney General to enforce federal laws.,0,0,0,,,,,
